movie_id,title,genres,recommended_type
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,Action
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,Action
1198,Raiders of the Lost Ark (1981),Action|Adventure,Action
2028,Saving Private Ryan (1998),Action|Drama|War,Action
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,Action
858,"Godfather, The (1972)",Action|Crime|Drama,Action
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,Action
110,Braveheart (1995),Action|Drama|War,Action
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,Action
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,Action
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,Adventure
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,Adventure
1198,Raiders of the Lost Ark (1981),Action|Adventure,Adventure
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,Adventure
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,Adventure
919,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,Adventure
480,Jurassic Park (1993),Action|Adventure|Sci-Fi,Adventure
1259,Stand by Me (1986),Adventure|Comedy|Drama,Adventure
1580,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi,Adventure
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,Adventure
1,Toy Story (1995),Animation|Children's|Comedy,Animation
3114,Toy Story 2 (1999),Animation|Children's|Comedy,Animation
2355,"Bug's Life, A (1998)",Animation|Children's|Comedy,Animation
1148,"Wrong Trousers, The (1993)",Animation|Comedy,Animation
2987,Who Framed Roger Rabbit? (1988),Adventure|Animation|Film-Noir,Animation
3751,Chicken Run (2000),Animation|Children's|Comedy,Animation
588,Aladdin (1992),Animation|Children's|Comedy|Musical,Animation
745,"Close Shave, A (1995)",Animation|Comedy|Thriller,Animation
2700,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy,Animation
364,"Lion King, The (1994)",Animation|Children's|Musical,Animation
1,Toy Story (1995),Animation|Children's|Comedy,Children's
1097,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,Children's
919,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,Children's
3114,Toy Story 2 (1999),Animation|Children's|Comedy,Children's
34,Babe (1995),Children's|Comedy|Drama,Children's
2355,"Bug's Life, A (1998)",Animation|Children's|Comedy,Children's
3751,Chicken Run (2000),Animation|Children's|Comedy,Children's
1073,Willy Wonka and the Chocolate Factory (1971),Adventure|Children's|Comedy|Fantasy,Children's
588,Aladdin (1992),Animation|Children's|Comedy|Musical,Children's
364,"Lion King, The (1994)",Animation|Children's|Musical,Children's
2858,American Beauty (1999),Comedy|Drama,Comedy
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,Comedy
2396,Shakespeare in Love (1998),Comedy|Romance,Comedy
1270,Back to the Future (1985),Comedy|Sci-Fi,Comedy
2997,Being John Malkovich (1999),Comedy,Comedy
356,Forrest Gump (1994),Comedy|Romance|War,Comedy
1,Toy Story (1995),Animation|Children's|Comedy,Comedy
1265,Groundhog Day (1993),Comedy|Romance,Comedy
1136,Monty Python and the Holy Grail (1974),Comedy,Comedy
2716,Ghostbusters (1984),Comedy|Horror,Comedy
858,"Godfather, The (1972)",Action|Crime|Drama,Crime
608,Fargo (1996),Crime|Drama|Thriller,Crime
1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,Crime
296,Pulp Fiction (1994),Crime|Drama,Crime
50,"Usual Suspects, The (1995)",Crime|Thriller,Crime
1221,"Godfather: Part II, The (1974)",Action|Crime|Drama,Crime
1213,GoodFellas (1990),Crime|Drama,Crime
2000,Lethal Weapon (1987),Action|Comedy|Crime|Drama,Crime
1089,Reservoir Dogs (1992),Crime|Thriller,Crime
1234,"Sting, The (1973)",Comedy|Crime,Crime
2064,Roger & Me (1989),Comedy|Documentary,Documentary
246,Hoop Dreams (1994),Documentary,Documentary
162,Crumb (1994),Documentary,Documentary
1147,When We Were Kings (1996),Documentary,Documentary
1189,"Thin Blue Line, The (1988)",Documentary,Documentary
3007,American Movie (1999),Documentary,Documentary
2859,Stop Making Sense (1984),Documentary,Documentary
2677,Buena Vista Social Club (1999),Documentary,Documentary
1361,Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary,Documentary
2693,Trekkies (1997),Documentary,Documentary
2858,American Beauty (1999),Comedy|Drama,Drama
